ُ؛؟Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
1,N#Cc1cc2ccc(O)cc2oc1=O,O,355,410,2.804262479,NaN,NaN,NaN,NaN,NaN,NaN,187.1537,DOI: 10.1021/acs.jpcb.5b09905
2,N#Cc1cc2ccc([O-])cc2oc1=O,O,408,450,3.961965135,NaN,NaN,NaN,NaN,NaN,43,186.14576,DOI: 10.1021/acs.jpcb.5b09905
3,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526,535,3.602954423,NaN,NaN,NaN,NaN,NaN,NaN,1061.54348,https://doi.org/10.1002/smll.201901342
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514,553.72,3.81,NaN,NaN,NaN,NaN,NaN,67.4,350.42028,https://doi.org/10.1016/j.snb.2018.10.043
5,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524,555,4.7,NaN,NaN,NaN,NaN,58,50,350.42028,https://doi.org/10.1016/j.snb.2018.10.043
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350,395,2.8,NaN,NaN,NaN,NaN,NaN,NaN,231.29398,DOI: 10.1021/j100248a024
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361,416,3.1,NaN,NaN,NaN,NaN,NaN,NaN,231.29398,DOI: 10.1021/j100248a024
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367,430,3.4,NaN,NaN,NaN,NaN,NaN,NaN,231.29398,DOI: 10.1021/j100248a024
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373,451,3.1,NaN,NaN,NaN,NaN,NaN,NaN,231.29398,DOI: 10.1021/j100248a024
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384,463,3.8,NaN,NaN,NaN,NaN,NaN,NaN,231.29398,DOI: 10.1021/j100248a024
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376,433,4.1,NaN,NaN,NaN,NaN,NaN,NaN,285.26416,DOI: 10.1021/j100248a024
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392,479,4.6,NaN,NaN,NaN,NaN,NaN,NaN,285.26416,DOI: 10.1021/j100248a024
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396,501,0.6,NaN,NaN,NaN,NaN,NaN,NaN,285.26416,DOI: 10.1021/j100248a024
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400,509,0.85,NaN,NaN,NaN,NaN,NaN,NaN,285.26416,DOI: 10.1021/j100248a024
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413,524,2.7,NaN,NaN,NaN,NaN,NaN,NaN,285.26416,DOI: 10.1021/j100248a024
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361,407,2.6,NaN,NaN,NaN,NaN,NaN,NaN,255.31598,DOI: 10.1021/j100248a024
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380,450,3.3,NaN,NaN,NaN,NaN,NaN,NaN,255.31598,DOI: 10.1021/j100248a024
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387,473,4.5,NaN,NaN,NaN,NaN,NaN,NaN,255.31598,DOI: 10.1021/j100248a024
19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396,489,5.9,NaN,NaN,NaN,NaN,NaN,NaN,255.31598,DOI: 10.1021/j100248a024
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393,455,4.3,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409,501,5.4,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418,521,5.6,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421,531,3.4,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434,546,3.5,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382,439,4.2,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405,510,5.6,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408,515,5.1,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365,465,5.2,NaN,NaN,NaN,NaN,NaN,NaN,229.15664,DOI: 10.1021/j100248a024
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454,501,3.2,NaN,NaN,NaN,NaN,NaN,NaN,350.44092,DOI: 10.1021/j100248a024
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403,480,2.8,NaN,NaN,NaN,NaN,NaN,NaN,347.41674,DOI: 10.1021/j100248a024
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354,420,3.5,NaN,NaN,NaN,NaN,NaN,NaN,217.2671,DOI: 10.1021/j100248a024
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383,481,7.7,NaN,NaN,NaN,NaN,NaN,NaN,271.23728,DOI: 10.1021/j100248a024
33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530,555,3.7,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,doi/10.1021/j100535a016
