extraction_source,year,device_label,dye,semiconductor,electrolyte,substrate,active_area,solar_simulator,voc,voc_units,jsc,jsc_units,ff,pce_percent,paper_title,doi,journal,source_url,local_file,context_or_table,validation_status
pdf_table,2024,-,MS-1,-,,,,,0.87 (0.86± 0.02),,19.52 (19.41 ± 0.14),,75.43 (74.81 ± 0.46),12.81 (12.78 ± 0.01),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,MS-1 | - | 0.87 (0.86± 0.02) | 19.52 (19.41 ± 0.14) | 75.43 (74.81 ± 0.46) | 12.81 (12.78 ± 0.01),pdf_table_extracted_needs_manual_validation
pdf_table,2024,-,MS-2,-,,,,,0.81 (0.82± 0.04),,18.01 (18.44 ± 0.22),,74.85 (74.37 ± 0.25),10.92 (10.79 ± 0.04),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,MS-2 | - | 0.81 (0.82± 0.04) | 18.01 (18.44 ± 0.22) | 74.85 (74.37 ± 0.25) | 10.92 (10.79 ± 0.04),pdf_table_extracted_needs_manual_validation
pdf_table,2024,-,N719,-,,,,,0.73 (0.72 ± 0.01),,16.66 (16.62 ± 0.02),,62.49 (61.25 ± 0.37),7.60 (7.66 ± 0.02),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,N719 | - | 0.73 (0.72 ± 0.01) | 16.66 (16.62 ± 0.02) | 62.49 (61.25 ± 0.37) | 7.60 (7.66 ± 0.02),pdf_table_extracted_needs_manual_validation
pdf_table,2024,P-Tandem,N719 (Top) + MS-1 (Bottom),P-Tandem,,,,,0.88 (0.88± 0.02),,20.61 (20.69 ± 0.21),,71.07 (70.72 ± 0.25),12.89 (12.80 ± 0.03),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,N719 (Top) + MS-1 (Bottom) | P-Tandem | 0.88 (0.88± 0.02) | 20.61 (20.69 ± 0.21) | 71.07 (70.72 ± 0.25) | 12.89 (12.80 ± 0.03),pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 0.25% 2,,TiO NP + Ag 0.25% 2,,,,,0.479,,2.154,,0.551,0.568,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 0.25% 2 | 2.154 | 0.479 | 0.551 | 0.568,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 0.50% 2,,TiO NP + Ag 0.50% 2,,,,,0.506,,2.597,,0.537,0.706,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 0.50% 2 | 2.597 | 0.506 | 0.537 | 0.706,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 0.75% 2,,TiO NP + Ag 0.75% 2,,,,,0.574,,3.514,,0.532,1.071,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 0.75% 2 | 3.514 | 0.574 | 0.532 | 1.071,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 1% 2,,TiO NP + Ag 1% 2,,,,,0.530,,2.685,,0.458,0.651,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 1% 2 | 2.685 | 0.530 | 0.458 | 0.651,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 2% 2,,TiO NP + Ag 2% 2,,,,,0.552,,1.905,,0.566,0.595,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 2% 2 | 1.905 | 0.552 | 0.566 | 0.595,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP + Ag 3% 2,,TiO NP + Ag 3% 2,,,,,0.559,,1.957,,0.535,0.586,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP + Ag 3% 2 | 1.957 | 0.559 | 0.535 | 0.586,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NP 2,,TiO NP 2,,,,,0.572,,2.663,,0.537,0.818,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NP 2 | 2.663 | 0.572 | 0.537 | 0.818,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NR-T + Ag 1% 2,,TiO NR-T + Ag 1% 2,,,,,0.669,,4.458,,0.507,1.511,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NR-T + Ag 1% 2 | 4.458 | 0.669 | 0.507 | 1.511,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NR-T + Ag 2% 2,,TiO NR-T + Ag 2% 2,,,,,0.620,,4.190,,0.545,1.415,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NR-T + Ag 2% 2 | 4.190 | 0.620 | 0.545 | 1.415,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NR-T + Ag 3% 2,,TiO NR-T + Ag 3% 2,,,,,0.611,,3.532,,0.581,1.254,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NR-T + Ag 3% 2 | 3.532 | 0.611 | 0.581 | 1.254,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NR-T + Ag 4% 2,,TiO NR-T + Ag 4% 2,,,,,0.581,,3.014,,0.482,0.844,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NR-T + Ag 4% 2 | 3.014 | 0.581 | 0.482 | 0.844,pdf_table_extracted_needs_manual_validation
pdf_table,2024,TiO NR-T 2,,TiO NR-T 2,,,,,0.582,,3.458,,0.520,1.047,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,TiO NR-T 2 | 3.458 | 0.582 | 0.520 | 1.047,pdf_table_extracted_needs_manual_validation
html_table,2024,SnO 2,Pandan leaf; anthocyanin; chlorophyll; curcumin,SnO 2; TiO2; titanium dioxide; ZnO; zinc oxide; SnO2; tin oxide,iodide/triiodide; electrolyte redox couple Iodide/Tri-Iodide; electrolyte [ 11 ]; electrolyte injection; electrolyte consisted of 500 mM of Lithium Iodide (LiI) and 50 mM of Iodine (I 2 ) as a base redox couple,FTO; fluorine doped tin oxide; glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.350,,0.257,,0.574,0.052,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,"Journal of Sustainable Development of Energy, Water and Environment Systems",http://www.sdewes.org/jsdewes/pid12.0491,database_2018_13516220/doaj_2020_2026/scraped/raw/10.13044_j.sdewes.d12.0491.html, | TiO 2 | TIO 2 + SL | SnO 2 | SnO 2 + SL || Efficiency [%] | 0.212 | 0.382 | 0.052 | 0.143 || FF | 0.659 | 0.752 | 0.574 | 0.574 || Voc [V] | 0.535 | 0.560 | 0.350 | 0.363 || Jsc [mA/cm 2 ] | 0.601 | 0.906 | 0.257 | 0.685 || Area [cm 2 ] | 0.214 | 0.214 | 0.214 | 0.214,html_table_extracted_needs_manual_validation
html_table,2024,SnO 2 + SL,Pandan leaf; anthocyanin; chlorophyll; curcumin,SnO 2 + SL; TiO2; titanium dioxide; ZnO; zinc oxide; SnO2; tin oxide,iodide/triiodide; electrolyte redox couple Iodide/Tri-Iodide; electrolyte [ 11 ]; electrolyte injection; electrolyte consisted of 500 mM of Lithium Iodide (LiI) and 50 mM of Iodine (I 2 ) as a base redox couple,FTO; fluorine doped tin oxide; glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.363,,0.685,,0.574,0.143,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,"Journal of Sustainable Development of Energy, Water and Environment Systems",http://www.sdewes.org/jsdewes/pid12.0491,database_2018_13516220/doaj_2020_2026/scraped/raw/10.13044_j.sdewes.d12.0491.html, | TiO 2 | TIO 2 + SL | SnO 2 | SnO 2 + SL || Efficiency [%] | 0.212 | 0.382 | 0.052 | 0.143 || FF | 0.659 | 0.752 | 0.574 | 0.574 || Voc [V] | 0.535 | 0.560 | 0.350 | 0.363 || Jsc [mA/cm 2 ] | 0.601 | 0.906 | 0.257 | 0.685 || Area [cm 2 ] | 0.214 | 0.214 | 0.214 | 0.214,html_table_extracted_needs_manual_validation
html_table,2024,TIO 2 + SL,Pandan leaf; anthocyanin; chlorophyll; curcumin,TIO 2 + SL; TiO2; titanium dioxide; ZnO; zinc oxide; SnO2; tin oxide,iodide/triiodide; electrolyte redox couple Iodide/Tri-Iodide; electrolyte [ 11 ]; electrolyte injection; electrolyte consisted of 500 mM of Lithium Iodide (LiI) and 50 mM of Iodine (I 2 ) as a base redox couple,FTO; fluorine doped tin oxide; glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.560,,0.906,,0.752,0.382,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,"Journal of Sustainable Development of Energy, Water and Environment Systems",http://www.sdewes.org/jsdewes/pid12.0491,database_2018_13516220/doaj_2020_2026/scraped/raw/10.13044_j.sdewes.d12.0491.html, | TiO 2 | TIO 2 + SL | SnO 2 | SnO 2 + SL || Efficiency [%] | 0.212 | 0.382 | 0.052 | 0.143 || FF | 0.659 | 0.752 | 0.574 | 0.574 || Voc [V] | 0.535 | 0.560 | 0.350 | 0.363 || Jsc [mA/cm 2 ] | 0.601 | 0.906 | 0.257 | 0.685 || Area [cm 2 ] | 0.214 | 0.214 | 0.214 | 0.214,html_table_extracted_needs_manual_validation
html_table,2024,TiO 2,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO 2; TiO2; titanium dioxide; ZnO; zinc oxide; SnO2; tin oxide,iodide/triiodide; electrolyte redox couple Iodide/Tri-Iodide; electrolyte [ 11 ]; electrolyte injection; electrolyte consisted of 500 mM of Lithium Iodide (LiI) and 50 mM of Iodine (I 2 ) as a base redox couple,FTO; fluorine doped tin oxide; glass,0.214,"light intensity, temperature and humidity; solar simulator (Bunko-Keiki Co; Solar Simulator CEP-2000SRR)",0.535,,0.601,,0.659,0.212,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,10.13044/j.sdewes.d12.0491,"Journal of Sustainable Development of Energy, Water and Environment Systems",http://www.sdewes.org/jsdewes/pid12.0491,database_2018_13516220/doaj_2020_2026/scraped/raw/10.13044_j.sdewes.d12.0491.html, | TiO 2 | TIO 2 + SL | SnO 2 | SnO 2 + SL || Efficiency [%] | 0.212 | 0.382 | 0.052 | 0.143 || FF | 0.659 | 0.752 | 0.574 | 0.574 || Voc [V] | 0.535 | 0.560 | 0.350 | 0.363 || Jsc [mA/cm 2 ] | 0.601 | 0.906 | 0.257 | 0.685 || Area [cm 2 ] | 0.214 | 0.214 | 0.214 | 0.214,html_table_extracted_needs_manual_validation
text_core_props,2025,Caulerpa racemosa,Caulerpa racemosa,TiO2; titanium dioxide; ZnO,"electrolyte, mesoporous titanium dioxide (TiO₂) photoelectrode, reduced graphene oxide (rGO) as counter electrode, and ITO glass as",ITO; glass,,,0.46,V,0.023,mA/cm²,0.244,0.019,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,International Journal of Renewable Energy Development,https://ijred.cbiore.id/index.php/ijred/article/view/61083,database_2018_13516220/doaj_2020_2026/scraped/raw/10.61435_ijred.2025.61083.pdf,"highest performance for Gymnogongrus flabelliformis was Jsc 0.041 mA/cm², Voc 0.28 V, FF 0.239, and η 0.020%, while the highest performance of Caulerpa racemosa was Jsc 0.023 mA/cm², Voc 0.46 V, FF 0.244, and η 0.019%. These findings indicate the potential for using and developing natural dyes derived from these two macroalgae species in DSSC technology. This research offers insight into the fe",text_core_properties_extracted_needs_manual_validation
text_core_props,2025,Gymnogongrus flabelliformis,Gymnogongrus flabelliformis,TiO2; titanium dioxide; ZnO,"electrolyte, mesoporous titanium dioxide (TiO₂) photoelectrode, reduced graphene oxide (rGO) as counter electrode, and ITO glass as",ITO; glass,,,0.28,V,0.041,mA/cm²,0.239,0.020,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,International Journal of Renewable Energy Development,https://ijred.cbiore.id/index.php/ijred/article/view/61083,database_2018_13516220/doaj_2020_2026/scraped/raw/10.61435_ijred.2025.61083.pdf,"rcuit voltage (Voc), fill factor (FF), and overall photoelectric conversion efficiency (η). The results showed that the highest performance for Gymnogongrus flabelliformis was Jsc 0.041 mA/cm², Voc 0.28 V, FF 0.239, and η 0.020%, while the highest performance of Caulerpa racemosa was Jsc 0.023 mA/cm², Voc 0.46 V, FF 0.244, and η 0.019%. These findings indicate the potential for using and developing natura",text_core_properties_extracted_needs_manual_validation
