year,device_label,dye,semiconductor,electrolyte,substrate,active_area,solar_simulator,voc,jsc,ff,pce_percent,table_caption,table_headers,table_row_raw,paper_title,doi,journal,source_url,local_file,validation_status
2024,-,N719,-,,,,,0.73 (0.72 ± 0.01),16.66 (16.62 ± 0.02),62.49 (61.25 ± 0.37),7.60 (7.66 ± 0.02),"PDF page 10, table 1",Sensitizer (0.2mM) | Device type | V a (V b)/eV OC OC | J a (J b) (mA.cm−2) SC SC | FFa (FFb)/% | PCEa (PCEb)/%,N719 | - | 0.73 (0.72 ± 0.01) | 16.66 (16.62 ± 0.02) | 62.49 (61.25 ± 0.37) | 7.60 (7.66 ± 0.02),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,pdf_table_extracted_needs_manual_validation
2024,-,MS-1,-,,,,,0.87 (0.86± 0.02),19.52 (19.41 ± 0.14),75.43 (74.81 ± 0.46),12.81 (12.78 ± 0.01),"PDF page 10, table 1",Sensitizer (0.2mM) | Device type | V a (V b)/eV OC OC | J a (J b) (mA.cm−2) SC SC | FFa (FFb)/% | PCEa (PCEb)/%,MS-1 | - | 0.87 (0.86± 0.02) | 19.52 (19.41 ± 0.14) | 75.43 (74.81 ± 0.46) | 12.81 (12.78 ± 0.01),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,pdf_table_extracted_needs_manual_validation
2024,-,MS-2,-,,,,,0.81 (0.82± 0.04),18.01 (18.44 ± 0.22),74.85 (74.37 ± 0.25),10.92 (10.79 ± 0.04),"PDF page 10, table 1",Sensitizer (0.2mM) | Device type | V a (V b)/eV OC OC | J a (J b) (mA.cm−2) SC SC | FFa (FFb)/% | PCEa (PCEb)/%,MS-2 | - | 0.81 (0.82± 0.04) | 18.01 (18.44 ± 0.22) | 74.85 (74.37 ± 0.25) | 10.92 (10.79 ± 0.04),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,pdf_table_extracted_needs_manual_validation
2024,P-Tandem,N719 (Top) + MS-1 (Bottom),P-Tandem,,,,,0.88 (0.88± 0.02),20.61 (20.69 ± 0.21),71.07 (70.72 ± 0.25),12.89 (12.80 ± 0.03),"PDF page 10, table 1",Sensitizer (0.2mM) | Device type | V a (V b)/eV OC OC | J a (J b) (mA.cm−2) SC SC | FFa (FFb)/% | PCEa (PCEb)/%,N719 (Top) + MS-1 (Bottom) | P-Tandem | 0.88 (0.88± 0.02) | 20.61 (20.69 ± 0.21) | 71.07 (70.72 ± 0.25) | 12.89 (12.80 ± 0.03),Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,https://doi.org/10.1038/s41598-024-75959-0,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1038_s41598-024-75959-0.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NR-T 2,,TiO NR-T 2,,,,,0.582,3.458,0.520,1.047,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NR-T 2 | 3.458 | 0.582 | 0.520 | 1.047,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NR-T + Ag 1% 2,,TiO NR-T + Ag 1% 2,,,,,0.669,4.458,0.507,1.511,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NR-T + Ag 1% 2 | 4.458 | 0.669 | 0.507 | 1.511,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NR-T + Ag 2% 2,,TiO NR-T + Ag 2% 2,,,,,0.620,4.190,0.545,1.415,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NR-T + Ag 2% 2 | 4.190 | 0.620 | 0.545 | 1.415,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NR-T + Ag 3% 2,,TiO NR-T + Ag 3% 2,,,,,0.611,3.532,0.581,1.254,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NR-T + Ag 3% 2 | 3.532 | 0.611 | 0.581 | 1.254,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NR-T + Ag 4% 2,,TiO NR-T + Ag 4% 2,,,,,0.581,3.014,0.482,0.844,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NR-T + Ag 4% 2 | 3.014 | 0.581 | 0.482 | 0.844,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP 2,,TiO NP 2,,,,,0.572,2.663,0.537,0.818,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP 2 | 2.663 | 0.572 | 0.537 | 0.818,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 0.25% 2,,TiO NP + Ag 0.25% 2,,,,,0.479,2.154,0.551,0.568,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 0.25% 2 | 2.154 | 0.479 | 0.551 | 0.568,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 0.50% 2,,TiO NP + Ag 0.50% 2,,,,,0.506,2.597,0.537,0.706,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 0.50% 2 | 2.597 | 0.506 | 0.537 | 0.706,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 0.75% 2,,TiO NP + Ag 0.75% 2,,,,,0.574,3.514,0.532,1.071,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 0.75% 2 | 3.514 | 0.574 | 0.532 | 1.071,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 1% 2,,TiO NP + Ag 1% 2,,,,,0.530,2.685,0.458,0.651,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 1% 2 | 2.685 | 0.530 | 0.458 | 0.651,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 2% 2,,TiO NP + Ag 2% 2,,,,,0.552,1.905,0.566,0.595,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 2% 2 | 1.905 | 0.552 | 0.566 | 0.595,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
2024,TiO NP + Ag 3% 2,,TiO NP + Ag 3% 2,,,,,0.559,1.957,0.535,0.586,"PDF page 5, table 1",Sample | Jsc (mA.cm−2) | Voc (V) | FF | Efficiency (%),TiO NP + Ag 3% 2 | 1.957 | 0.559 | 0.535 | 0.586,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,10.1051/e3sconf/202448101005,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/11/e3sconf_icschem2024_01005.pdf,database_2018_13516220/doaj_2020_2026/scraped/raw/10.1051_e3sconf_202448101005.pdf,pdf_table_extracted_needs_manual_validation
